Zur's Weirding; FMB1; 2; Foil; 32
Wings of the Cosmos; KHM; 1; Foil; 39
Wings of Hubris; THB; 2; ; 241
Wingfold Pteron; IKO; 3; ; 71
Winged Words; M20; 4; ; 80
Winged Shepherd; AKH; 1; ; 39
Windstorm Drake; RNA; 2; ; 60
Winds of Rebuke; AKH; 2; ; 76
Windrider Wizard; ZNR; 2; ; 87
Windcaller Aven; MH1; 1; ; 77
Wind-Scarred Crag; IKO; 1; ; 258
Wind Strider; XLN; 2; ; 88
Wind Strider; MB1; 2; ; 552
Wind Drake; KLD; 1; ; 70
Wind Drake; M13; 1; ; 80
Wily Goblin; XLN; 1; ; 174
Wilt; IKO; 3; ; 176
Wilt; IKO; 1; Foil; 176
Wildwood Tracker; ELD; 1; ; 183
Wildsize; CMR; 1; ; 264
Wildsize; IMA; 1; ; 191
Wildheart Invoker; CMR; 1; Foil; 263
Wildgrowth Walker; XLN; 1; ; 216
Wildborn Preserver; ELD; 1; ; 182
Wild-Field Scarecrow; SOI; 1; ; 269
Wild Wanderer; KLD; 2; ; 173
Wild Shape; AFR; 2; ; 212
Wild Shape; AFR; 1; Foil; 212
Wild Ceratok; GRN; 3; ; 150
Wild Celebrants; CMR; 1; ; 212
Wight of Precinct Six; IMA; 1; ; 114
Wicker Witch; SOI; 1; ; 268
Wicked Guardian; ELD; 1; ; 109
Whitemane Lion; TSR; 1; ; 50
Whispersteel Dagger; ZNC; 1; ; 5
Whispersilk Cloak; MB1; 4; ; 1649
Whisper, Blood Liturgist; DOM; 1; ; 111
Whisper Squad; IKO; 2; ; 105
Whisper Agent; GRN; 1; ; 220
Whirlwind Denial; STA; 6; ; 23
Whirlwind Denial; THB; 1; ; 81
Whirlwind Adept; KTK; 2; ; 63
Whirler Rogue; ZNC; 1; ; 39
Whims of the Fates; BNG; 1; ; 115
Whelming Wave; MB1; 2; ; 545
Well of Ideas; 2XM; 1; ; 75
Welkin Tern; MB1; 1; ; 544
Welding Sparks; CMR; 3; ; 210
Weldfast Engineer; AER; 1; ; 139
Welder Automaton; AER; 1; ; 183
Weigh Down; KHM; 2; ; 118
Wee Dragonauts; GRN; 1; ; 214
Weaver of Currents; AKH; 2; ; 209
Weathered Runestone; KHM; 2; ; 247
Weathered Runestone; KHM; 1; Foil; 247
Weather the Storm; STA; 2; ; 58
Weapons Trainer; 2XM; 1; ; 228
Weaponize the Monsters; IKO; 1; ; 140
Weapon Rack; ELD; 1; ; 236
Wayward Swordtooth; RIX; 1; Foil; 150
Wayward Guide-Beast; ZNR; 2; ; 176
Wayward Giant; KLD; 1; ; 139
Wayfaring Temple; MB1; 1; ; 1509
Waxing Moon; EMN; 1; ; 177
Wavecrash Triton; THS; 1; ; 74
Wavebreak Hippocamp; THB; 1; ; 80
Wave-Wing Elemental; BFZ; 1; ; 88
Watertrap Weaver; XLN; 3; ; 87
Waterknot; RIX; 3; ; 61
Waterfall Aerialist; STX; 2; ; 61
Waterfall Aerialist; STX; 2; Foil; 61
Watercourser; M13; 1; ; 78
Watchful Giant; RNA; 1; ; 30
Watcher in the Web; SOI; 2; ; 239
Wastes; TSR; 1; ; 410
Wasteland Scorpion; AKH; 1; ; 116
Wary Okapi; GRN; 3; ; 149
Warrant // Warden; RNA; 1; ; 230
Warping Wail; OGW; 1; Foil; 12
Warped Physique; GK1; 1; ; 21
Warped Landscape; SOI; 2; ; 280
Warlord's Fury; DOM; 1; ; 151
Warlock Class; AFR; 1; ; 125
Warhorn Blast; KHM; 3; ; 38
Warhorn Blast; KHM; 1; Foil; 38
Wardscale Crocodile; WAR; 1; ; 183
Warden of the Chained; THB; 1; ; 230
Warden of Geometries; OGW; 1; ; 11
Warded Battlements; M21; 1; ; 44
War Screecher; WAR; 2; ; 39
Wandering Troubadour; AFR; 1; ; 210
Wandering Troubadour; AFR; 1; Foil; 210
Wandering Archaic; STX; 1; ; 6
Wanderer's Strike; WAR; 4; ; 38
Wall of Vines; M19; 1; ; 210
Wall of Runes; WAR; 4; ; 75
Wall of Mist; M19; 1; ; 83
Wall of Mist; GRN; 2; ; 58
Wall of Lost Thoughts; RNA; 1; ; 59
Walking Atlas; WWK; 1; ; 131
Walker of the Grove; UMA; 1; ; 191
Walk the Plank; XLN; 1; ; 130
Waking the Trolls; KHM; 1; ; 234
Waker of Waves; M21; 1; ; 84
Waker of the Wilds; ZNC; 1; ; 86
Wake of Vultures; MB1; 1; ; 818
Vulshok Gauntlets; 2XM; 1; ; 305
Vulpikeet; IKO; 1; ; 37
Vraska, Swarm's Eminence; WAR; 3; ; 236
Vraska's Finisher; WAR; 1; ; 112
Vow of Torment; CMR; 1; Foil; 159
Vow of Lightning; CMR; 1; ; 209
Vow of Flight; CMR; 1; ; 105
Vow of Duty; CMR; 2; ; 54
Vortex Runner; STX; 6; ; 60
Vorstclaw; M20; 4; ; 201
Vorpal Sword; AFR; 1; Foil; 396
Voracious Vampire; RIX; 2; ; 91
Voracious Typhon; THB; 1; ; 203
Vona, Butcher of Magan; XLN; 1; ; 231
Voltaic Servant; DOM; 1; ; 236
Voldaren Duelist; SOI; 1; ; 191
Volcanic Upheaval; BFZ; 1; ; 161
Volcanic Torrent; CMR; 1; Foil; 208
Volcanic Dragon; M19; 1; ; 167
Volatile Fjord; KHM; 1; ; 273
Volatile Fjord; KHM; 1; Foil; 273
Volatile Claws; MH1; 2; ; 154
Voidwielder; RTR; 1; ; 56
Void Mirror; MH2; 1; ; 242
Void Grafter; OGW; 1; ; 150
Void Beckoner; IKO; 1; ; 104
Vizkopa Vampire; RNA; 2; ; 220
Vizier of the Anointed; HOU; 1; ; 55
Vizier of Remedies; AKH; 1; ; 38
Vivien, Monsters' Advocate; IKO; 1; ; 277
Vivien's Grizzly; WAR; 3; ; 182
Vivid Revival; GRN; 1; ; 148
Vito, Thorn of the Dusk Rose; M21; 1; ; 127
Vish Kal, Blood Arbiter; 2XM; 1; ; 226
Viscera Seer; CMR; 2; ; 158
Virulent Swipe; MB1; 1; ; 815
Virulent Sliver; TSR; 1; ; 246
Violent Impact; AKH; 2; ; 154
Vineshaper Mystic; XLN; 3; ; 214
Vineglimmer Snarl; STX; 1; Foil; 274
Vine Gecko; ZNR; 2; ; 219
Vindictive Vampire; RNA; 2; ; 90
Village Rites; KHM; 2; ; 117
Village Rites; STA; 2; ; 35
Village Rites; STA; 2; Foil; 35
Vile Entomber; MH2; 1; ; 108
Vigorspore Wurm; GRN; 1; ; 147
Vigor; MB1; 1; ; 1368
Victimize; CMR; 1; Foil; 157
Vicious Rumors; GRN; 2; ; 89
Vicious Offering; DOM; 1; ; 110
Vicious Conquistador; XLN; 1; ; 128
Viashino Lashclaw; MH2; 1; ; 146
Vial of Dragonfire; M20; 3; ; 241
Veteran's Sidearm; ORI; 1; ; 242
Veteran Motorist; KLD; 1; ; 188
Veteran Dungeoneer; AFR; 1; ; 40
Veteran Adventurer; ZNR; 2; ; 218
Vestige of Emrakul; BFZ; 1; ; 136
Vessel of Volatility; SOI; 2; ; 189
Vessel of Paramnesia; SOI; 2; ; 95
Vessel of Malignity; SOI; 2; ; 144
Vessel of Ephemera; SOI; 1; ; 48
Vesperlark; MH1; 1; ; 35
Vernadi Shieldmate; GRN; 2; ; 219
Vermin Gorger; MH2; 1; Foil; 107
Verdant Mastery; STX; 2; ; 146
Verdant Haven; GTC; 1; ; 138
Verdant Force; C15; 1; ; 207
Verdant Command; MH2; 1; ; 182
Verdant Automaton; AER; 2; ; 180
Vent Sentinel; MB1; 1; ; 1094
Venerated Loxodon; GRN; 2; ; 30
Venerable Warsinger; STX; 1; ; 246
Velomachus Lorehold; STX; 1; ; 245
Veiling Oddity; TSR; 4; ; 95
Vega, the Watcher; KHM; 2; ; 233
Vega, the Watcher; KHM; 1; ; 332
Vedalken Mesmerist; GRN; 1; ; 57
Vectis Gloves; MH2; 1; ; 241
Vault Robber; KHM; 3; ; 158
Vastwood Surge; ZNR; 3; ; 217
Vastwood Fortification; ZNR; 1; ; 216
Vassal Soul; RTR; 1; ; 224
Vanquisher's Banner; XLN; 1; ; 251
Vanquisher's Banner; TSR; 1; ; 402
Vanquish the Weak; ZNR; 3; ; 131
Vanishing Verse; STX; 1; ; 244
Vampiric Fury; ISD; 1; ; 167
Vampire's Zeal; XLN; 1; ; 43
Vampire Spawn; AFR; 1; ; 123
Vampire Revenant; RIX; 1; ; 89
Vampire Opportunist; WAR; 3; ; 110
Vampire of the Dire Moon; M20; 3; ; 120
Vampire Noble; SOI; 1; ; 143
Vampire Lacerator; MB1; 1; ; 812
Vampire Envoy; MB1; 2; ; 810
Vampire Envoy; OGW; 1; ; 92
Valorous Steed; M21; 1; ; 42
Valor Singer; AFR; 2; ; 165
Valor Singer; AFR; 1; Foil; 165
Valor of the Worthy; KHM; 2; ; 37
Valor in Akros; ORI; 1; ; 39
Valkyrie Harbinger; KHM; 1; ; 374
Valiant Knight; M19; 4; ; 42
Valduk, Keeper of the Flame; DOM; 4; ; 148
Valakut Predator; BFZ; 1; ; 160
Valakut Invoker; CMR; 2; ; 206
Valakut Exploration; ZNR; 1; ; 175
Uvilda, Dean of Perfection; STX; 1; ; 332
Uvilda, Dean of Perfection; STX; 1; Foil; 160
Utvara Hellkite; RTR; 1; ; 110
Utopia Vow; TSR; 1; ; 245
Utopia Mycon; TSR; 1; ; 244
Utility Knife; ZNR; 4; ; 256
Usher of the Fallen; KHM; 2; ; 35
Urza's Ruinous Blast; DOM; 1; Foil; 39
Urza's Rage; MH1; 1; ; 151
Urza's Power Plant; 2XM; 1; ; 330
Urza's Factory; TSR; 1; ; 288
Uro, Titan of Nature's Wrath; THB; 1; ; 229
Urgoros, the Empty One; DOM; 1; ; 109
Urborg, Tomb of Yawgmoth; TSR; 1; ; 287
Urborg Panther; PLIST; 1; ; 117
Urban Utopia; GRN; 3; ; 146
Urban Daggertooth; MH2; 2; ; 181
Unwind; DOM; 1; ; 72
Unwavering Initiate; AKH; 1; ; 36
Unsummon; HOU; 4; ; 54
Unquenchable Thirst; HOU; 2; ; 53
Unmarked Grave; MH2; 1; Foil; 453
Unlikely Aid; IKO; 3; ; 103
Unlikely Aid; WAR; 3; ; 109
Unknown Shores; XLN; 1; ; 259
Unknown Shores; OGW; 1; ; 181
Unknown Shores; THS; 2; ; 229
Unknown Shores; THB; 2; ; 249
Universal Solvent; AER; 1; ; 178
Universal Solvent; CMR; 1; ; 347
Universal Solvent; CMR; 1; Foil; 347
Universal Automaton; MB1; 1; ; 1647
Unholy Heat; MH2; 1; ; 145
Unfriendly Fire; XLN; 1; ; 172
Unflinching Courage; MB1; 1; ; 1502
Unexplained Vision; ELD; 1; ; 70
Unexplained Disappearance; GRN; 2; ; 56
Unexpected Windfall; AFR; 1; ; 164
Unexpected Fangs; IKO; 1; ; 102
Undying Rage; CMR; 4; ; 205
Undying Rage; CMR; 1; Foil; 205
Underworld Charger; THB; 4; ; 120
Undersea Invader; KHM; 5; ; 78
Underhanded Designs; KLD; 1; ; 104
Undergrowth Stadium; CMR; 1; ; 714
Underdark Basilisk; AFR; 1; ; 208
Undercity's Embrace; RNA; 2; ; 89
Undercity Uprising; GRN; 1; ; 210
Undercity Troll; IMA; 2; ; 188
Undercity Troll; ORI; 1; ; 202
Undercity Scavenger; RNA; 2; ; 88
Undercity Plague; GTC; 1; ; 83
Undercity Necrolisk; GRN; 1; ; 87
Undead Servant; M20; 1; ; 118
Uncomfortable Chill; M19; 1; ; 82
Uncaged Fury; MB1; 1; ; 1087
Unburden; AKH; 1; ; 114
Unbridled Growth; AER; 2; ; 126
Unbreakable Bond; IKO; 2; ; 101
Umbral Juke; STX; 1; ; 89
Umara Wizard; ZNR; 3; ; 86
Umara Mystic; ZNR; 3; ; 238
Umara Entangler; OGW; 1; ; 65
Ulvenwald Mysteries; SOI; 2; ; 236
Ulvenwald Hydra; SOI; 1; ; 235
Ulrich's Kindred; SOI; 2; ; 187
Ulamog's Nullifier; BFZ; 2; ; 207
Uktabi Drake; TSR; 3; ; 243
Ugin's Conjurant; WAR; 1; ; 3
Ubul Sar Gatekeepers; DGM; 1; ; 30
Tyvar Kell; KHM; 1; ; 198
Tyrite Sanctum; KHM; 1; Foil; 372
Tyrant's Scorn; WAR; 1; ; 225
Tymna the Weaver; CMR; 1; ; 539
Tymaret, the Murder King; THS; 1; ; 207
Tymaret, Chosen from Death; THB; 1; ; 263
Two-Headed Cerberus; THS; 1; ; 146
Twisted Abomination; 2XM; 1; ; 111
Twinscroll Shaman; STX; 3; ; 118
Twins of Maurer Estate; SOI; 2; ; 142
Twin-Silk Spider; MH1; 1; ; 188
Twin Bolt; DTK; 1; ; 164
Twilight Panther; RNA; 2; ; 28
Tuya Bearclaw; CMR; 1; ; 292
Tuskguard Captain; ZNC; 1; ; 85
Tuskeri Firewalker; KHM; 4; ; 157
Turret Ogre; M21; 1; ; 169
Turret Ogre; WAR; 3; ; 148
Turntimber Symbiosis; ZNR; 1; ; 364
Turntimber Ascetic; ZNR; 5; ; 214
Turntimber Ascetic; ZNR; 2; Foil; 214
Turn to Slag; M21; 1; ; 168
Turn into a Pumpkin; ELD; 1; Foil; 69
Tuktuk Rubblefort; ZNR; 1; ; 173
Trygon Predator; C21; 1; ; 231
Trusty Packbeast; M19; 1; ; 41
Trusted Pegasus; WAR; 5; ; 36
Trumpeting Gnarr; IKO; 1; ; 213
Trumpet Blast; M19; 1; ; 165
Trumpet Blast; KTK; 1; ; 124
Trufflesnout; M21; 2; ; 212
Truefire Captain; GRN; 2; ; 209
True Polymorph; AFR; 1; ; 80
True Love's Kiss; ELD; 2; ; 34
Trudge Garden; C21; 1; ; 396
Trove Warden; ZNC; 1; ; 3
Trophy Mage; AER; 2; ; 48
Triumphant Surge; THB; 1; ; 41
Triton Waverider; THB; 1; ; 78
Triton Shorestalker; ZNC; 1; ; 38
Triton Fortune Hunter; THS; 1; ; 69
Trial of Knowledge; AKH; 1; ; 73
Trespasser's Curse; AKH; 2; ; 112
Trespasser il-Vec; TSR; 2; ; 147
Trepanation Blade; IMA; 2; ; 231
Treasury Thrull; GK2; 1; ; 46
Treasure Mage; 2XM; 1; ; 73
Treasure Hunt; MB1; 2; ; 531
Treasure Cruise; KTK; 2; ; 59
Treasure Cruise; TSR; 2; ; 319
Treasure Chest; AFR; 1; ; 252
Treacherous Werewolf; JUD; 1; ; 76
Treacherous Terrain; ZNC; 1; ; 105
Traveler's Amulet; HOU; 1; ; 167
Traveler's Amulet; RIX; 3; ; 184
Trapped in the Tower; ELD; 2; ; 33
Transcendent Envoy; THB; 2; ; 40
Tranquil Thicket; C21; 1; ; 408
Tranquil Thicket; MH1; 1; ; 248
Tranquil Expanse; AER; 4; ; 189
Tranquil Cove; IKO; 1; ; 257
Tranquil Cove; IKO; 1; Foil; 257
Trait Doctoring; DGM; 1; ; 18
Trailblazer's Boots; ZEN; 1; ; 208
Trail of Evidence; SOI; 1; ; 93
Tragic Poet; DOM; 2; ; 37
Tragic Lesson; HOU; 2; ; 51
Tragic Fall; MH2; 1; ; 104
Toxin Sliver; MB1; 1; ; 798
Towering-Wave Mystic; THB; 5; ; 77
Towering Thunderfist; GTC; 2; ; 109
Totally Lost; A25; 1; ; 74
Totally Lost; WAR; 3; ; 74
Tormod's Cryptkeeper; MH2; 1; ; 239
Tormentor's Helm; KHM; 2; ; 155
Tormenting Voice; M19; 2; ; 164
Tormenting Voice; SOI; 1; ; 186
Tormenting Voice; ZNR; 3; ; 172
Torment of Venom; HOU; 1; ; 79
Torment of Hailfire; HOU; 1; ; 77
Torii Watchward; SOK; 1; ; 30
Torch Gauntlet; KLD; 1; ; 237
Torch Courier; GRN; 1; ; 119
Topple the Statue; WAR; 5; ; 35
Topan Freeblade; MB1; 1; ; 263
Tome Shredder; STX; 3; ; 117
Tome Raider; ELD; 2; ; 68
Tome Anima; M21; 1; ; 81
Tombstalker; TSR; 1; ; 146
Toll of the Invasion; WAR; 3; ; 108
Tolarian Sentinel; TSR; 2; ; 94
Toil // Trouble; DGM; 1; ; 133
Together Forever; ZNC; 1; ; 22
Tizerus Charger; MH2; 1; ; 101
Tithebearer Giant; WAR; 2; ; 107
Tithe Drinker; DGM; 1; ; 109
Tithe Drinker; MB1; 1; ; 1498
Titanic Growth; M19; 1; ; 205
Titania, Protector of Argoth; MH2; 1; ; 287
Tishana's Wayfinder; XLN; 2; ; 211
Tireless Tracker; SOI; 1; ; 233
Tireless Tracker; PLIST; 1; ; 435
Tireless Provisioner; MH2; 2; ; 180
Tinker; MB1; 2; ; 527
Timeless Witness; MH2; 1; ; 179
Time of Ice; PLIST; 1; ; 419
Timberpack Wolf; M13; 1; ; 194
Tilonalli's Knight; XLN; 1; ; 169
Tilonalli's Crown; RIX; 5; ; 120
Tiger-Tribe Hunter; AFR; 2; ; 163
Tidy Conclusion; KLD; 1; ; 103
Tide Skimmer; M21; 1; ; 79
Tide Shaper; MH2; 2; ; 72
Tiana, Ship's Caretaker; DOM; 1; ; 208
Thwart the Grave; ZNR; 1; ; 130
Thwart the Grave; ZNR; 1; Foil; 130
Thwart the Enemy; IKO; 3; ; 173
Thunderous Snapper; ELD; 1; ; 215
Thunderous Orator; STX; 1; ; 35
Thundermaw Hellkite; IMA; 1; ; 149
Thundering Spineback; XLN; 1; ; 210
Thundering Sparkmage; ZNR; 3; ; 171
Thundering Rebuke; ZNR; 3; ; 170
Thundering Ceratok; WAR; 3; ; 179
Thunder Strike; BBD; 1; ; 185
Thunder Drake; WAR; 4; ; 73
Thrumming Stone; PLIST; 1; ; 275
Throttle; SOI; 1; ; 138
Throne of Makindi; ZNR; 2; ; 265
Throatseeker; MH1; 1; ; 110
Thriving Rats; KLD; 1; ; 102
Thriving Moor; JMP; 1; ; 37
Thriving Ibex; KLD; 1; ; 31
Thrilling Discovery; STX; 3; ; 243
Thrill of Possibility; STA; 1; ; 46
Thrill of Possibility; THB; 1; ; 159
Thrill of Possibility; ELD; 1; ; 146
Thresher Lizard; AKH; 1; ; 150
Thresher Lizard; AKH; 1; Foil; 150
Threnody Singer; THB; 1; ; 75
Three Dreams; RAV; 1; ; 32
Thrashing Brontodon; RIX; 1; ; 148
Thrash of Raptors; XLN; 2; ; 168
Thran Dynamo; C19; 1; ; 225
Thraben Watcher; MH2; 1; ; 34
Thraben Inspector; 2XM; 1; ; 35
Thraben Inspector; SOI; 3; ; 44
Thraben Gargoyle; SOI; 1; ; 266
Thoughtbound Phantasm; GRN; 1; ; 55
Thought Vessel; CMR; 1; ; 346
Thought Vessel; CMR; 1; ; 703
Thought Vessel; MB1; 1; ; 1639
Thought Scour; IMA; 3; ; 76
Thought Distortion; M20; 1; ; 117
Thought Distortion; M20; 1; Foil; 117
Those Who Serve; AKH; 1; ; 32
Thornwood Falls; M20; 1; ; 258
Thornwood Falls; IKO; 2; ; 256
Thornwind Faeries; MB1; 2; ; 519
Thornweald Archer; TSR; 1; ; 240
Thornglint Bridge; MH2; 2; ; 258
Thorned Moloch; HOU; 1; ; 108
Thornbow Archer; ORI; 1; ; 121
Thornado; MH1; 1; ; 184
Thorn Elemental; DOM; 2; ; 185
Thopter Engineer; 2XM; 2; Foil; 147
Thirsting Shade; RNA; 3; ; 87
Thirsting Bloodlord; M20; 2; ; 293
Thirst for Meaning; THB; 2; ; 74
Thirst for Knowledge; CMR; 1; Foil; 103
Think Twice; TSR; 2; ; 92
Thieving Otter; IKO; 1; ; 69
Thieving Magpie; MB1; 2; ; 518
Thieves' Tools; AFR; 2; ; 122
Thieves' Guild Enforcer; M21; 1; ; 361
Thicket Crasher; M20; 1; ; 196
Thespian's Stage; GTC; 1; ; 248
Theoretical Duplication; C21; 1; ; 34
The World Tree; KHM; 1; ; 373
The Wanderer; WAR; 1; ; 37
The Underworld Cookbook; MH2; 1; ; 434
The Trickster-God's Heist; KHM; 1; ; 232
The Three Seasons; KHM; 1; ; 231
The Tarrasque; AFR; 1; Foil; 333
The Raven's Warning; KHM; 1; ; 227
The Prismatic Piper; CMR; 1; ; 1
The Ozolith; PIKO; 1; Foil; 237s
The Mending of Dominaria; ZNC; 1; ; 74
The Gitrog Monster; MB1; 1; ; 1430
The Gitrog Monster; SOI; 1; ; 245
The First Iroan Games; THB; 1; ; 170
The Eldest Reborn; DOM; 3; ; 90
The Elderspell; WAR; 1; ; 89
The Book of Vile Darkness; AFR; 1; ; 91
The Bloodsky Massacre; KHM; 1; ; 207
The Birth of Meletis; THB; 1; ; 5
The Biblioplex; STX; 1; ; 264
The Bears of Littjara; KHM; 2; ; 205
Thallid Germinator; TSR; 1; ; 236
Thalisse, Reverent Medium; CMR; 1; Foil; 291
Thalia's Lieutenant; SOI; 1; ; 43
Tezzeret's Touch; AER; 1; ; 138
Tezzeret's Gambit; STA; 1; ; 21
Teyo's Lightshield; WAR; 2; ; 33
Tetzimoc, Primal Death; RIX; 1; ; 86
Tetsuko Umezawa, Fugitive; DOM; 2; ; 69
Test of Talents; STX; 2; ; 59
Test of Talents; STX; 2; Foil; 59
Teshar, Ancestor's Apostle; DOM; 1; ; 36
Terrus Wurm; RTR; 1; ; 80
Territorial Scythecat; ZNR; 3; ; 213
Territorial Scythecat; ZNR; 3; ; 310
Territorial Hammerskull; XLN; 1; ; 41
Territorial Boar; RNA; 2; ; 145
Terramorphic Expanse; CMR; 1; Foil; 712
Terramorphic Expanse; TSR; 2; ; 285
Terramorphic Expanse; ZNC; 1; ; 142
Terrain Elemental; MB1; 1; ; 1351
Terminal Agony; MH2; 1; ; 215
Terminal Agony; MH2; 1; ; 424
Tergrid, God of Fright; KHM; 1; ; 307
Tergrid's Shadow; KHM; 1; Foil; 113
Terastodon; C21; 1; ; 207
Tenth District Veteran; RNA; 2; ; 26
Tenth District Legionnaire; WAR; 1; ; 222
Tendrils of Corruption; TSR; 1; ; 145
Tendrils of Agony; STA; 1; ; 34
Tendershoot Dryad; RIX; 1; ; 147
Tend the Pests; STX; 1; ; 242
Tend the Pests; STX; 1; Foil; 242
Tenacious Hunter; HOU; 1; ; 136
Temur Battle Rage; 2XM; 1; Foil; 146
Tempt with Discovery; MB1; 1; ; 1350
Temporal Machinations; DOM; 4; ; 271
Temporal Isolation; TSR; 2; ; 48
Temple Thief; THB; 1; ; 116
Temple of Triumph; THS; 1; ; 228
Temple of the False God; C21; 1; ; 326
Temple of the False God; MB1; 2; ; 1691
Temple of Silence; THS; 1; ; 227
Temple of Mystery; C21; 1; ; 324
Temple of Malice; THB; 1; ; 247
Temple of Abandon; THB; 1; ; 244
Temple Garden; GRN; 1; ; 258
Temple Altisaur; RIX; 1; ; 28
Temple Acolyte; DDF; 1; ; 9
Tempest Caller; XLN; 2; ; 86
Tempered Veteran; M21; 1; ; 41
Telling Time; GK1; 1; ; 4
Teferi, Timebender; DOM; 1; Foil; 270
Teferi's Time Twist; WAR; 1; ; 72
Teferi's Sentinel; DOM; 3; ; 273
Teeterpeak Ambusher; ZNR; 4; ; 169
Teeterpeak Ambusher; ZNR; 1; Foil; 169
Tectonic Rift; M20; 5; ; 161
Tectonic Giant; THB; 1; ; 158
Team Pennant; STX; 1; ; 260
Teach by Example; STX; 2; ; 241
Tazeem Roilmage; ZNR; 5; ; 84
Tazeem Raptor; ZNR; 3; ; 43
Tazeem Raptor; ZNR; 1; Foil; 43
Taunting Arbormage; ZNR; 1; Foil; 212
Tatyova, Benthic Druid; DOM; 1; ; 206
Tasseled Dromedary; KLD; 1; ; 30
Targ Nar, Demon-Fang Gnoll; AFR; 1; ; 234
Tangletrap; STX; 1; ; 145
